objectid,title,location,format,date,filename,language,subject,descripction,latitude,longitude
68,Museum Wien,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/068.pdf,de; fr; en,"Viena, Hermanos Kohn Viena 1; Museo","Museo de Historia del Arte de Viena. Colección de la casa editorial de  los Hermanos Kohn Viena 1. Color: sepia, medidas: 9x14cm",48.203802,16.361787
69,Schloss Schönbrunn: Salón Azul,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/069.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena,"Foto del antiguo salón azul o salón chino dentro del Palacio en Viena de Schönbrunn. En este lugar el emperador Carlos I traslado el mando de los negocios gubernamentales al recién fundado gobierno republicano. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
70,Schloss Schönbrunn: Duque de Reichstadt,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/070.pdf,de,Palacio de Schönbrunn; Napoleón; El rey de Roma; Duque de Reichstadt; Historia; Imperio; Napoleón IIColección Instituto geográfico de Viena,"Pintura del Duque de Reichstadt único heredero de Napoleon I. Nació el 20 de Marzo de 1811 y murió el 22 de julio de 1832 en este mismo palacio, el Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
71,Schloss Schönbrunn: Mesa de la corte ,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/071.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Francisco José I; Gran Galería; Mesa; Corte imperial,"Mesa de la corte  imperial puesta, correspondiente al periodo en el que el emperador Francisco José I vivió. Esta mesa se encuentra en la gran galería dentro del palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
72,Schloss Schönbrunn: Gabinete Chino Redondo,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/072.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena,"Gabinete Chino Redondo. Recubierto con paneles de lacado antiguo y decorado accesorios de porcelana china y japonesa. Durante la época de  María Teresa  se usó este cuarto como salón de despensa .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
73,Schloss Schönbrunn: Cuarto de María Antonieta ,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/073.pdf,de,"Palacio de Schönbrunn; Colección Instituto geográfico de Viena; María Antonieta; Cuarto; Francisco I, Emperador de Austria; Retrato; Orden del Toisón de Oro","Foto del Cuarto de María Antonieta en el Palacio de Schönbrunn en donde se encuentra un retrato de tamaño real del emperador Francisco I de Austria con su atuendo de la Orden del Toisón de Oro . Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
74,"Schloss Schönbrunn: Presbiterio de la Capilla ""La boda de María""","Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/074.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Capilla; Boda; María; Religión; Consagrar; Presbiterio,"Foto de vista al presbiterio de la capilla del castillo, consagrada a la ""Boda de María"" .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
75,Schloss Schönbrunn: Mesa de la Corte ,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/075.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Francisco José I; Gran Galería; Mesa; Corte imperial,"Foto de la mesa de la corte  puesta desde otro angulo, correspondiente al periodo en el que el emperador Francisco José I vivió. Esta mesa se encuentra en la gran galería dentro del palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
76,Schloss Schönbrunn: Cuarto de Napoleón,"Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/076.pdf,de,Palacio de Schönbrunn; Napoleón; Cuarto de Napoleón; Duque de Reichstadt; Hijo de Napoleón; Muerte ; El rey de Roma; Colección Instituto geográfico de Viena,"Cuarto de Napoleón donde el emperador vivió de 1805 a 1809 y donde su hijo el Duque de Reichstadt murió en 1832.Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
77,"Schloss Schönbrunn: Feligresía de la Capilla ""La boda de María""","Viena, Austria ",application/pdf,1911,Fotos/59-83.Austria/077.pdf,de,Palacio de Schönbrunn; interior; Colección Instituto geográfico de Viena; Feligresía,"Foto de vista a la feligresía de la capilla del castillo, consagrada a la ""Boda de María"" .Palacio de Schönbrunn. Colección Instituto geográfico de Viena.Color: sepia, medidas: 9x14cm",48.18479,16.31227
