filename,objectid,side,transcription
077.pdf,b03cade3-42ee-4410-80e9-07160119dfb3,back,"Julio 5 1911
Paris"
C2-G2-002.pdf,ee3a7c21-02e9-48de-ab17-17ee7738760a,back,"Aquí estuvimos el 28 y 29 de Mayo de 1911. Tuvimos el apartamento del 1<sup>er</sup> piso compuesto del salon, 3 recamaras y el baño, más una pieza de Marta y Manuela. Precio 84 marcos, sin comida 59 marcos."
C2-G2-015.pdf,5a6f738e-c597-4dcd-8e25-6286916f4117,back,"II 12-1912

Esta iglesia la visité acompañada de Maria Leonor y Miss, es la que corona la ciudad de San Remo"
Fotos/1-58.Francia/055.pdf,3644f5d8-3d1b-4726-99bf-a533ffef2738,back,"souvenir des Zeppelin quand ils sont venus à Paris.

---

Leonor de Escalante

Paris 1940

---"
