filename,objectid,side,angle,confidence,method
Fotos/59-83.Austria/082.pdf,3cb638b5-a908-49dc-a0cd-3fb94820febc,front,270,1.0,manual
Fotos/59-83.Austria/083.pdf,29b8a520-74a7-4557-981f-69b35b075ecd,front,270,1.0,manual
Fotos/84-98.Bélgica/084.pdf,ef32ddca-2462-4c7e-8b51-0af257e01ab3,front,270,1.0,manual
Fotos/84-98.Bélgica/085.pdf,c0e38dc5-cb75-4d3f-b841-1ab2f7c04946,front,270,1.0,manual
Fotos/84-98.Bélgica/087.pdf,0c6bd98e-7267-403a-9b49-a86431c6e8e4,front,270,1.0,manual
Fotos/84-98.Bélgica/088.pdf,b531040f-5090-4254-859c-d0481f8098e9,front,270,1.0,manual
Fotos/84-98.Bélgica/089.pdf,15b7648c-a873-45a9-9661-a7a92fa72b33,front,270,1.0,manual
Fotos/84-98.Bélgica/090.pdf,a81d9519-2e42-4f1c-8a49-2c6c440054b3,front,270,1.0,manual
Fotos/84-98.Bélgica/091.pdf,338641b8-101a-488f-a13d-a74930c25035,front,270,1.0,manual
Fotos/84-98.Bélgica/092.pdf,8a23a082-6c97-44c5-b3e1-0530d64d7ce7,front,270,1.0,manual
Fotos/84-98.Bélgica/095.pdf,7b97e7b6-bee2-46f6-b3fb-df17e9181ab3,front,270,1.0,manual
Fotos/84-98.Bélgica/096.pdf,86f8ca87-4ec9-4927-addf-db07075bfab6,front,270,1.0,manual
Fotos/84-98.Bélgica/097.pdf,461805c0-8bad-4bf5-b6e6-32693b30b01d,front,270,1.0,manual
Fotos/84-98.Bélgica/098.pdf,33bbfb1e-99a5-4127-a668-db44cf3a8c3e,front,270,1.0,manual
Fotos/99-100.Paises Bajos/099.pdf,daf7e0a6-8bc2-4fdf-8502-be7f2cabd575,front,270,1.0,manual
Fotos/99-100.Paises Bajos/100.pdf,3b8ce46e-f54d-4747-9dfd-f0f129ef1c8a,front,270,1.0,manual
002.pdf,03863806-a533-4248-a3c0-f0bf9ff8d8a2,front,90,1.0,manual
003.pdf,d5a8124e-f320-442a-9d2b-b3f816286c99,front,90,1.0,manual
004.pdf,1faec90f-f513-4b0d-a584-36f89cc4c0fe,front,270,1.0,manual
005.pdf,70a308e3-6316-4fe6-a09e-d9b379d2c909,front,270,1.0,manual
007.pdf,97b7c404-922b-454f-b3cf-ebbc364f1462,front,90,1.0,manual
009.pdf,99e09e43-303a-4f4a-850a-3a5613b4c636,front,270,1.0,manual
011.pdf,47553b34-fa9e-49cf-a8d7-6663b4ea7ecf,front,270,1.0,manual
012.pdf,329abc78-addb-462f-b2b6-f030909540fd,front,270,1.0,manual
013.pdf,6b61c0ba-e9d0-4a1d-ba57-79c309ddff96,front,270,1.0,manual
014.pdf,a2a722b8-5ee7-4d2b-970d-3c06e181c10a,front,270,1.0,manual
015.pdf,6846df23-0c64-4f0a-b73f-e5e4e78a0fad,front,270,1.0,manual
016.pdf,1b360391-03c1-423f-bbc5-702f1e234f58,front,270,1.0,manual
019.pdf,8632ff1a-f5b7-4b5e-85dc-42625761d55e,front,270,1.0,manual
020.pdf,c61078b5-2df6-465a-a42e-6fd10e830f8a,front,270,1.0,manual
021.pdf,41ddd477-7cf4-40ab-910f-73d29191065b,front,90,1.0,manual
031.pdf,3afddf6f-12ff-4e4f-9cc5-03f41bf56a07,front,270,1.0,manual
036.pdf,334009df-b8f8-496b-9f17-86df8749bd40,front,270,1.0,manual
038.pdf,c0a7651b-caf6-4de5-b92f-8de28bfc9138,front,90,1.0,manual
040.pdf,22bec2ca-167b-442b-ac8e-86fd415499de,front,90,1.0,manual
041.pdf,740e537b-9b1b-4e89-a5e6-b98a48a9cbda,front,270,1.0,manual
043.pdf,349b335d-1692-455c-9834-ff71e376c10f,front,270,1.0,manual
044.pdf,aa870318-7907-4689-abf2-2cfe27982c02,front,270,1.0,manual
045.pdf,cf65e431-b393-472c-928c-861be0aa0015,front,270,1.0,manual
046.pdf,94645a3d-a55e-484b-816d-fbc946fb1d56,front,270,1.0,manual
047.pdf,9306104c-8f25-4888-9ead-adef37e356a4,front,270,1.0,manual
048.pdf,1072e505-5f67-4229-8eb3-a5f9f91fce9b,front,270,1.0,manual
049.pdf,18847054-6acd-40e4-930b-39c944edbc61,front,270,1.0,manual
050.pdf,839c7893-c698-4407-853f-af44d0b4979f,front,270,1.0,manual
053.pdf,90542a2a-1cae-46b2-996e-29883daaa2bc,front,90,1.0,manual
055.pdf,25a733ca-0084-4661-bd63-9328fc124072,front,270,1.0,manual
056.pdf,3c2648c9-fc8c-4f9d-9e98-2936f7e82dda,front,270,1.0,manual
058.pdf,a0d01ae7-0fed-4575-9cb0-8ab27e9a9365,front,270,1.0,manual
059.pdf,5f93cebd-56eb-42e8-aafd-815910fc5721,front,270,1.0,manual
060.pdf,c33cc129-65be-4e05-8b18-eed4dcf8323a,front,270,1.0,manual
063.pdf,2529094b-a015-43b7-9837-e8e88ca97f55,front,270,1.0,manual
065.pdf,eada4402-b793-40ca-87bb-10d237c8729d,front,270,1.0,manual
066.pdf,787b0f30-721e-45e7-a12a-0b83d4dc6aed,front,270,1.0,manual
068.pdf,28b41e07-0db1-42e9-a54c-37cf2ffa65e7,front,270,1.0,manual
070.pdf,0f784e47-aa9e-4cb1-b1d0-a0985255d14e,front,270,1.0,manual
072.pdf,75f33208-9c69-4cc1-a1ba-2904aad7b49a,front,90,1.0,manual
073.pdf,07e0ee47-cd3d-41dd-84bb-e04587dcca91,front,270,1.0,manual
075.pdf,665930d9-dc81-4cb8-ab39-6b3f0e483dee,front,90,1.0,manual
078.pdf,7cacf8c1-547f-45a4-8063-370b6d5f7e1d,front,270,1.0,manual
082.pdf,48cddc6e-2467-49a1-997d-84cc9add9efc,front,270,1.0,manual
083.pdf,cb6ad435-7ab4-4590-b32c-49c63d2715f2,front,270,1.0,manual
084.pdf,95cc6ace-999d-4409-ae96-5c9a9acdabbe,front,270,1.0,manual
085.pdf,b623958b-ab32-47e2-80ba-24bef6467b6a,front,270,1.0,manual
086.pdf,a3138d52-0a4a-4bbc-84c7-5b289e71c7f9,front,270,1.0,manual
087.pdf,4bff1ffe-89e2-4d4c-8b6f-e8303301a978,front,270,1.0,manual
088.pdf,7212cfa7-96a7-4621-b541-2870aa9c0c40,front,270,1.0,manual
089.pdf,dd797624-d63b-4df1-bd95-f670b88282fe,front,270,1.0,manual
090.pdf,55ddd066-545f-4e03-92f4-ade27a7b10bb,front,270,1.0,manual
097.pdf,a3f6d712-4f7f-482f-95ef-ffdf10a431c1,front,270,1.0,manual
098.pdf,d56758f8-b9f7-4d47-8335-cdeab331560e,front,90,1.0,manual
099.pdf,504e4741-84c1-40b4-a50e-abcba3de589b,front,90,1.0,manual
100.pdf,1a6d196d-1c52-4045-83c4-8616f9875d25,front,180,1.0,manual
C2-G2-017.pdf,96263fda-6dd9-4813-8204-2ef366a7d9e7,front,90,1.0,manual
C2-G2-024.pdf,7a1901bb-02f9-4f62-bf0e-754b803959c8,front,90,1.0,manual
C2-G2-025.pdf,91878cf9-8767-4f9e-983d-7d9ae150686e,front,90,1.0,manual
C2-G2-026.pdf,64093666-4e1e-4339-aae2-d834b5ad4919,front,90,1.0,manual
C2-G2-028.pdf,1393200a-89d8-4be6-be8d-fc42bf24f1cf,front,90,1.0,manual
C2-G2-030.pdf,8b811882-47c3-4bde-8161-fc07822ea4a6,front,90,1.0,manual
C2-G2-031.pdf,c0e8a475-e7c9-4a65-9b41-f784888700e2,front,90,1.0,manual
C2-G2-032.pdf,6a07e0fb-c49b-468b-b442-ae2f7cc26cb7,front,90,1.0,manual
C2-G2-033.pdf,d917ae20-3a73-4df6-9a5d-452221916386,front,90,1.0,manual
C2-G2-035.pdf,a01d8e0b-5496-4e2b-a037-7b5839d13489,front,90,1.0,manual
C2-G2-038.pdf,99eb33b4-c7d2-41b4-ae80-91980942610d,front,90,1.0,manual
C2-G2-039.pdf,7d3d1dc5-6d2e-4b2f-8652-2aabb508c5a9,front,90,1.0,manual
C2-G2-040.pdf,29bb3ae2-476e-40ab-8f02-3a8976060bc6,front,90,1.0,manual
C2-G2-045.pdf,937a8c97-9497-448d-8d28-486a76611ce4,front,90,1.0,manual
C2-G2-050.pdf,7c1f520b-16a7-4d48-ae0f-43b3632ca1e1,front,90,1.0,manual
C2-G2-051.pdf,c540fd6b-825e-487e-b951-0926b61d2313,front,90,1.0,manual
C2-G2-052.pdf,307652ee-a57b-4258-b617-ae35da998da2,front,90,1.0,manual
C2-G2-054.pdf,007a9313-6401-41b6-9c30-20f6f97470c6,front,90,1.0,manual
C2-G2-057.pdf,1631e4ad-80ef-4be5-b405-b9127377c450,front,90,1.0,manual
C2-G2-063.pdf,ae98d7d5-de41-46fb-bc28-51afc4312c64,front,270,1.0,manual
C2-G2-064.pdf,b97a9f27-1dad-4a68-acc2-00d7b820d011,front,90,1.0,manual
C2-G2-066.pdf,2230847a-7ea1-44f5-9885-c9ac7fbf63d7,front,90,1.0,manual
C2-G2-067.pdf,a3318d7a-5145-4a24-b525-1b40bc177a1f,front,90,1.0,manual
C2-G2-068.pdf,b02dae06-0d0f-4699-9dd0-9283bd95fcff,front,90,1.0,manual
C2-G2-069.pdf,4092f4f8-5ff1-4b29-83b1-1909009ba3d8,front,90,1.0,manual
C2-G2-070.pdf,2ab94438-2ee8-4f6f-9744-5c0785bcfe80,front,90,1.0,manual
C2-G2-072.pdf,609bd324-4410-48c5-92ea-6be4a906be44,front,90,1.0,manual
C2-G2-076.pdf,540c7046-6110-4845-a3be-55cc5dc7f8bb,front,90,1.0,manual
C2-G2-078.pdf,5d6e6cbc-7361-49a9-8c52-28bc7b7678b2,front,90,1.0,manual
C2-G2-080.pdf,105568f0-f04e-4b3e-8574-5fa774415f90,front,90,1.0,manual
C2-G2-085.pdf,0ff17ed0-3ce1-4e79-bef9-4a2234dd2d24,front,90,1.0,manual
C2-G2-089.pdf,5881d76a-1eaa-473d-b5b1-a67adf14d797,front,90,1.0,manual
C2-G2-090.pdf,064e27f1-1042-4399-a735-62b6c03b2cae,front,90,1.0,manual
C2-G2-098.pdf,fbfa7cfe-26bb-48b0-b455-8bd186db91ae,front,90,1.0,manual
Fotos/1-58.Francia/001.pdf,6d94546f-1392-4160-8443-2b717f419d2a,back,270,1.0,manual
Fotos/1-58.Francia/002.pdf,8cd4e4c2-f927-4477-9189-dec1032db3ca,back,270,1.0,manual
Fotos/1-58.Francia/003.pdf,598ef3a6-46f7-40e8-81e5-280c2434269f,back,90,1.0,manual
